#{"t_start": 1765098203.162179, "env_id": "None"}
r,l,t
76.231906,85,160.48114
4783.386605,4309,161.794803
1631.37775,1428,162.352111
428.000069,370,162.404978
93.008499,93,162.418172
1058.220956,900,162.546505
923.497928,872,163.02294
1033.475539,880,163.147864
612.758835,546,163.225657
434.875074,402,163.64487
61.771795,69,163.654421
136.160127,137,163.673543
1627.755308,1443,163.874481
1419.256276,1214,164.395345
339.546453,335,164.441695
2296.482053,2000,165.072483
1211.255531,1057,165.573202
104.150069,108,165.588376
618.115841,520,165.66202
229.691026,202,165.690406
918.32754,813,165.804567
1316.558459,1132,166.313156
466.751618,430,166.373151
512.689233,457,166.436721
5582.124531,4799,168.151544
48.181259,52,168.158804
60.488977,64,168.167647
269.907683,268,168.20521
738.657205,699,168.3032
1439.214322,1310,168.836407
90.497476,94,168.854167
543.842624,483,168.981157
467.677954,421,169.044682
401.928112,375,169.569432
994.76178,858,169.753587
150.238267,132,169.772164
273.813783,246,169.806767
169.566226,152,169.827987
21.662453,35,169.832755
1887.130179,1625,170.419322
1872.150297,1601,170.996132
206.679051,199,171.023997
1015.953755,881,171.147532
2066.858625,1752,171.743586
1407.737584,1205,172.267501
1125.774803,997,172.407193
964.539349,828,172.875177
880.023487,756,172.981014
3297.654117,2776,173.719037
374.827943,332,174.126386
851.033392,739,174.229564
807.902513,725,174.331041
866.347823,741,174.790491
936.505389,772,174.89771
850.461265,772,175.004536
145.301132,123,175.427288
801.897726,680,175.524632
13.046768,26,175.528183
1960.758702,1688,176.166546
573.186966,507,176.241639
1139.722973,983,176.383568
1084.816248,906,176.905814
214.33002,212,176.936114
794.598338,671,177.033987
957.774055,808,177.509776
87.313772,85,177.52173
2349.463822,1987,178.188731
696.44291,639,178.280395
191.435712,181,178.325146
2140.01097,1885,178.969876
112.350762,117,178.986743
2080.047227,1785,179.605661
130.4725,127,179.62385
682.444079,599,179.7098
368.540265,339,179.757885
1200.300947,1089,180.285556
619.376363,527,180.359713
90.559227,83,180.371127
241.044591,258,180.40734
336.636828,298,180.82043
99.838418,104,180.835126
619.450243,522,180.90961
279.954812,262,180.946866
845.4526,772,181.055918
115.635386,134,181.075017
2137.772306,1814,181.69408
7896.528622,6831,184.147909
729.486974,616,184.23611
241.609027,213,184.266255
1949.11,1632,184.87503
394.306613,348,184.92534
915.275512,744,185.031629
1481.58341,1298,185.584548
1086.103635,947,186.083333
397.684487,351,186.133927
3805.565693,3250,187.032763
1799.652277,1564,187.63522
1025.942673,901,187.763605
2505.732084,2135,188.893536
327.160147,310,188.940917
3929.184016,3346,189.838046
1132.690708,962,190.439886
362.320073,312,190.491939
836.543415,738,190.606611
1817.379673,1526,191.222816
181.876397,167,191.246426
422.422838,383,191.300778
985.162541,888,191.79413
1269.907179,1105,191.954259
1591.171192,1301,192.530936
1012.12686,845,192.654511
1927.282532,1617,193.250861
494.962374,444,193.313396
795.664891,689,193.908944
99.871751,95,193.924873
1564.639095,1301,194.177503
1276.721448,1139,194.743023
346.354499,307,194.786908
699.10886,623,194.8752
90.733629,90,194.887885
136.853015,138,194.907317
575.707828,523,195.349592
913.625022,763,195.458435
1803.146914,1670,196.061725
726.397979,615,196.148487
2301.68633,2032,196.809223
576.022168,510,196.881669
609.43558,577,197.334062
3004.342927,2545,198.067276
1387.290365,1214,198.804881
412.38782,387,198.871685
323.785932,283,198.914415
789.767116,671,199.016409
1079.339521,918,200.055251
89.263605,83,200.073404
184.628887,156,200.108582
811.295826,695,200.28414
826.781321,707,200.413757
2001.362228,1657,201.134821
340.701091,307,201.179348
38.356361,43,201.185649
4206.79061,3575,202.441507
1811.897726,1477,203.079358
607.69558,526,203.155518
2142.547888,1772,203.776948
300.091301,244,203.811629
2486.645248,2004,204.470282
1273.034977,1084,205.013424
493.780184,423,205.073381
438.464038,356,205.12352
271.562815,233,205.156858
345.393981,313,205.201181
361.548606,313,205.245398
4509.147481,3709,206.630735
2057.259047,1711,207.262202
1455.464891,1179,207.815051
2937.118922,2367,208.602115
440.076019,363,208.654186
723.99883,599,208.738796
907.878667,759,209.225163
417.456309,347,209.275745
1127.929761,908,209.40524
324.665847,273,209.445137
203.679138,180,209.871346
915.120553,746,209.979414
337.146794,306,210.022978
1093.499971,917,210.153208
896.516332,770,210.654189
887.036237,747,210.761231
193.72946,164,210.785189
293.717349,252,210.821148
669.490385,549,211.291317
279.199669,234,211.325435
542.018388,452,211.389651
1190.049584,1034,211.930911
1107.14647,884,212.061442
1835.932703,1592,212.670505
635.834022,528,212.746332
48.812391,56,212.754216
563.469794,475,212.889848
1182.514084,952,213.584552
307.553539,265,213.623087
574.90259,488,213.694555
640.870843,532,213.770028
246.885885,214,213.80019
1432.559766,1147,214.328609
2692.112205,2273,215.02429
1604.604576,1343,215.668002
1206.063539,1033,215.817559
1199.519163,1056,216.34783
355.596372,284,216.389623
98.646339,98,216.403963
4234.855304,3572,217.743087
377.186353,341,217.792006
218.297635,174,217.816972
104.905425,96,217.830443
257.977134,231,217.863164
1113.524912,948,218.36604
1605.122822,1287,218.550326
309.775527,270,218.58851
965.196203,858,219.100041
1443.478287,1220,219.277776
3721.348825,3076,220.468356
608.050307,522,220.541774
460.126358,393,220.597458
656.72649,547,221.059011
375.938179,338,221.106829
786.106858,647,221.197991
854.868786,752,221.30389
92.90891,95,221.317384
355.905827,315,221.783741
197.333826,178,221.809147
633.200974,532,221.883788
538.944216,454,221.947397
140.132708,122,221.964477
880.193127,748,222.446094
499.674706,388,222.501573
487.541375,407,222.560245
1449.452903,1207,223.108556
1274.323868,1076,223.261559
1211.385331,985,223.768308
82.614351,78,223.779319
4319.383874,3503,224.655612
246.737921,199,224.683871
803.545479,700,225.152389
450.110976,373,225.20521
879.027033,707,225.305078
58.807555,62,225.313677
3448.121919,2973,226.472629
1667.445551,1360,226.666243
108.119381,129,227.067069
495.709432,437,227.133008
193.883067,171,227.157063
311.408252,283,227.196432
643.863738,525,227.270689
862.91066,718,227.736603
641.21296,565,227.817949
417.670988,344,227.867505
66.38777,68,227.877277
706.22061,613,227.965197
307.857163,260,228.002291
59.806653,73,228.378759
524.07177,435,228.441735
698.994997,651,228.533472
229.963047,204,228.562215
1741.645776,1485,229.162945
602.711812,538,229.239618
95.921476,87,229.251953
111.61641,101,229.266409
109.948509,113,229.282387
481.740406,409,229.361697
224.411847,214,229.878154
47.123585,58,229.886366
212.664137,180,229.911831
386.477184,335,229.95923
1074.790894,902,230.086079
76.33359,83,230.098229
148.678811,128,230.116311
803.983926,636,230.579885
1908.913524,1523,230.798436
1854.468713,1518,231.402028
935.4768,825,231.889767
383.257667,345,231.939441
367.798626,300,231.98273
1806.618585,1547,232.564423
551.171251,449,232.628002
688.468649,592,232.712223
1226.633883,1011,233.24399
442.920939,403,233.30164
35.126626,47,233.30839
111.072717,117,233.325451
91.461252,111,233.341806
1480.033281,1206,233.880539
895.096541,696,233.980223
388.03903,313,234.024681
486.159707,438,234.08694
988.329018,804,234.567437
144.401439,136,234.586199
1029.846792,813,234.701598
2038.173541,1657,235.316666
3684.458097,2963,236.165206
150.299083,121,236.182343
445.415309,381,236.767652
86.957635,87,236.780127
414.199138,373,236.833022
626.735092,500,236.903677
3871.288122,3179,238.137996
2147.731578,1736,238.777709
65.226246,62,238.78673
471.977775,382,238.841213
1315.524842,1072,238.99404
2112.22132,1632,239.60221
386.626788,317,239.647457
1723.24,1489,240.222416
3932.007872,3186,241.41615
3674.496948,2937,242.206623
1305.872101,1111,242.364274
227.363987,190,242.765546
752.90138,592,242.850297
644.261786,492,242.91803
3030.845642,2342,243.623154
2654.733712,2093,244.282102
572.976131,465,244.704594
1275.658024,1009,244.846377
666.318551,555,244.924491
431.564636,390,244.98059
444.020816,347,245.405111
571.924331,464,245.471252
122.190941,105,245.486077
298.346911,242,245.520578
610.095195,522,245.594523
2056.973241,1608,246.200024
145.785766,115,246.216207
921.527187,718,246.317238
922.211355,711,246.781135
429.760946,346,246.829292
195.022178,195,246.856453
367.74226,284,246.895808
2875.007628,2235,247.588848
1001.067881,805,248.05996
534.402111,423,248.119067
218.44452,181,248.144253
133.986504,118,248.1609
4288.255173,3311,249.358796
2009.948557,1555,249.577987
2841.659842,2183,250.600202
4995.79139,3923,251.582387
985.545879,741,252.048707
725.053,563,252.127951
750.818579,594,252.213468
294.14486,239,252.246983
1180.800448,939,252.740192
415.321808,329,252.786459
1410.528804,1119,253.314179
2508.759112,1959,253.955352
20.196534,30,253.959853
4911.41415,3833,254.857679
449.978906,352,255.272937
2834.732846,2179,255.945849
659.980107,517,256.019406
1961.19419,1572,256.618043
206.101859,177,256.643093
709.048454,539,256.719829
153.923124,130,256.739644
1656.148047,1259,257.329924
1295.528644,1034,257.484568
3279.5197,2498,258.220345
1131.463559,860,258.707873
940.437143,723,258.809403
2996.022459,2230,259.489942
490.0048,385,260.0777
446.444014,343,260.136771
48.123177,46,260.145164
81.109988,77,260.157007
1334.115237,1015,260.316281
338.782306,280,260.356936
157.188593,137,260.376675
253.200456,215,260.805873
109.419695,95,260.8194
605.154774,497,260.888742
595.430072,467,260.953886
1105.680305,867,261.439329
1197.054727,922,261.570631
89.560464,77,261.581417
793.671467,615,261.669488
240.440137,214,261.700158
769.550061,591,262.141079
70.097202,69,262.15087
304.861619,254,262.187319
1563.679401,1203,262.35716
243.696087,213,262.748582
352.317383,296,262.790984
119.375678,110,262.806487
687.427106,531,262.881507
201.899027,167,262.905065
86.325258,92,262.918381
338.247075,293,262.960556
375.279957,293,263.001931
316.794754,250,263.407764
1632.433476,1236,263.585887
